"Item","Link","Cost (USD)"
"PCB","https://robu.in/","54"
"Switches","https://stackskb.com/store/akko-v3-matcha-green-pro-switch/","35"
"Acrylic Plate","https://robu.in/","4"
"Keycaps","https://curiositycaps.in/products/green-black-gradient-cherry-side-backlit-keycaps","17"
"Hotswap Sockets","https://stackskb.com/store/gateron-hotswap-sockets/","11"
"Diodes","https://robu.in/","2"
"LEDs","https://etstore.in/","12"
"NRF52840 Pro Micro","https://robu.in/","8"
"Boost Converter","https://robu.in/","1"
"Inductor","https://robu.in/","1"
"Filament","https://india.numakers.com/","10"
"Shift Register","https://robu.in/","2"
"Stabilizers","https://stackskb.com/store/durock-clear-screw-in-stabilizers-v2/","25"
"Xiao RP2040","https://robu.in/","5"
"Fasteners, Inserts","https://onlyscrews.in/","~10"
"Magnets","https://onlyscrews.in/","5"
"","TOTAL","202"
